,Data Provider Name,Data Provider ID,Segment ID,Segment Name
448,Lotame,422,1919509,automobile models - nissan rogue  (lotame)
449,Lotame,422,1919510,automobile models - nissan sentra (lotame)
450,Lotame,422,1919511,automobile models - nissan titan (lotame)
451,Lotame,422,1919515,automobile models - nissan versa (lotame)
452,Lotame,422,1919522,automobile models - nissan xterra (lotame)
453,Lotame,422,1919523,automobile models - nissan z (lotame)
454,Lotame,422,1919524,automobile models - pontiac bonneville (lotame)
455,Lotame,422,1919525,automobile models - pontiac g series (lotame)
456,Lotame,422,1919527,automobile models - pontiac grand am (lotame)
457,Lotame,422,1919528,automobile models - pontiac grand prix (lotame)
